dates,coin,date,prices,market_caps,total_vol
2022-04-08,bitcoin,1649462400000.0,42315.70972421807,804272478980.6077,24202906401.166885
2022-04-09,bitcoin,1649548800000.0,42796.39747810973,812734148492.5116,13949535311.5313
2022-04-10,bitcoin,1649635200000.0,42274.907370256085,803574629064.9272,14936318818.778025
2022-04-11,bitcoin,1649721600000.0,39603.965159284155,752680814425.1921,30168665078.21043
2022-04-12,bitcoin,1649808000000.0,40205.67794073206,764314681923.3135,27804694935.48352
2022-04-13,bitcoin,1649894400000.0,41205.16871904067,783560801481.9719,25453869985.971855
2022-04-14,bitcoin,1649980800000.0,39959.457069033735,759703443634.6515,22744792147.00975
2022-04-15,bitcoin,1650067200000.0,40586.59730938673,771666602547.5923,22053774554.17729
2022-04-16,bitcoin,1650153600000.0,40450.37930543977,770439827829.2395,15777789210.238447
2022-04-17,bitcoin,1650240000000.0,39739.11925622209,755627152747.4514,16627779441.567648
2022-04-18,bitcoin,1650326400000.0,40833.5379650337,776463403746.4385,30617039399.980103
2022-04-19,bitcoin,1650412800000.0,41498.12244669832,789141783336.2104,22717772925.289574
2022-04-20,bitcoin,1650499200000.0,41397.220477279625,787437397453.9304,24937668255.073463
2022-04-21,bitcoin,1650585600000.0,40528.54148675958,770787243369.5001,32131220615.550182
2022-04-22,bitcoin,1650672000000.0,39756.848993471016,756144456297.8489,46022063018.95215
2022-04-23,bitcoin,1650758400000.0,39561.78019075613,752414150959.3553,15010797471.968071
2022-04-24,bitcoin,1650844800000.0,39469.04986198146,752446283899.8965,16778683767.597218
2022-04-25,bitcoin,1650931200000.0,40488.877917622376,770112436973.4149,32883645913.964718
2022-04-26,bitcoin,1651017600000.0,38134.21545068938,725434540422.046,31053018153.386673
2022-04-27,bitcoin,1651104000000.0,39237.94931747103,746473028158.29,28170490245.865635
2022-04-28,bitcoin,1651190400000.0,39741.766645809636,756090806420.8264,31484572271.03238
2022-04-29,bitcoin,1651276800000.0,38650.55013809267,735829877665.6912,27758348826.409065
2022-04-30,bitcoin,1651363200000.0,37820.61176529208,719611115951.2947,20955789685.355682
2022-05-01,bitcoin,1651449600000.0,38537.65476669535,733294957352.5364,24857664487.014507
2022-05-02,bitcoin,1651536000000.0,38561.56539902362,733787526677.6703,29825308569.42226
2022-05-03,bitcoin,1651622400000.0,37758.496107734,718542028695.8999,23070122642.32804
2022-05-04,bitcoin,1651708800000.0,39699.02404125388,755764276888.7715,31748901527.20592
2022-05-05,bitcoin,1651795200000.0,36612.229548803036,696020943881.887,37402043365.58407
2022-05-06,bitcoin,1651881600000.0,36116.394294982965,687093350325.4445,32223287014.454002
2022-05-07,bitcoin,1651968000000.0,35573.31019883488,678702448510.6605,19130720394.98043
2022-05-08,bitcoin,1652054400000.0,34070.31219757961,648514321641.9902,30810576501.52256
2022-05-09,bitcoin,1652140800000.0,30269.586956629482,576197842487.6378,58369928594.32748
2022-05-10,bitcoin,1652227200000.0,31026.93386836242,590644412746.6844,54071363210.08785
2022-05-11,bitcoin,1652313600000.0,28913.48836365432,549294001873.1765,65985702701.50493
2022-05-12,bitcoin,1652400000000.0,29126.11597686014,555266177876.6213,61338080283.57989
2022-05-13,bitcoin,1652486400000.0,29310.728959858257,558053182541.2809,71541696924.39926
2022-05-14,bitcoin,1652572800000.0,30189.333177005963,573777699744.01,25759546763.688618
2022-05-15,bitcoin,1652659200000.0,31319.309111130002,596346266888.6597,22948123704.172672
2022-05-16,bitcoin,1652745600000.0,29923.606993639707,569801943005.2971,28418179221.125336
2022-05-17,bitcoin,1652832000000.0,30502.19328027689,581272773175.8237,24964703223.57502
2022-05-18,bitcoin,1652918400000.0,28772.200501112577,547927169401.20306,26219431165.241817
2022-05-19,bitcoin,1653004800000.0,30382.40624219559,578678245847.8763,29190056577.430664
2022-05-20,bitcoin,1653091200000.0,29256.813374416255,557201657280.7389,25980877919.56809
2022-05-21,bitcoin,1653177600000.0,29491.507947760598,561696351558.8424,13561006428.368963
2022-05-22,bitcoin,1653264000000.0,30351.050417138096,578090387085.146,17199930154.801018
2022-05-23,bitcoin,1653350400000.0,29163.167775739188,555459414424.212,26646754324.71057
2022-05-24,bitcoin,1653436800000.0,29655.02613175249,564885248021.9939,23486436836.56051
2022-05-25,bitcoin,1653523200000.0,29584.949851985926,563577022957.9133,23108764916.206596
2022-05-26,bitcoin,1653609600000.0,29346.781442431617,559066076343.6685,31972044691.709656
2022-05-27,bitcoin,1653696000000.0,28646.65218193245,545752899521.8662,31756305901.005535
2022-05-28,bitcoin,1653782400000.0,29088.236452817226,554938694217.2793,15406515372.711676
2022-05-29,bitcoin,1653868800000.0,29492.503214953642,561771345708.952,14496111397.934435
2022-05-30,bitcoin,1653955200000.0,31740.94072516695,604926607440.7722,34891305294.623
2022-05-31,bitcoin,1654041600000.0,31865.749621173167,607393396318.7885,29770567353.488136
2022-06-01,bitcoin,1654128000000.0,29833.450330205254,569001624438.0176,35553330791.53566
2022-06-02,bitcoin,1654214400000.0,30481.013996026013,580863150152.0535,24232399986.261147
2022-06-03,bitcoin,1654300800000.0,29714.143487149733,566275595800.1772,21997859590.66833
2022-06-04,bitcoin,1654387200000.0,29872.3603087139,568340135127.331,12911383481.843807
2022-06-05,bitcoin,1654473600000.0,29917.764052456198,570209935092.4275,13395229055.412352
2022-06-06,bitcoin,1654560000000.0,31372.5847629755,597966736176.5532,27644798123.298183
2022-06-07,bitcoin,1654646400000.0,31265.469277693348,597205650752.5386,36111325508.04181
2022-06-08,bitcoin,1654732800000.0,30229.236836130378,576238781341.3682,27080284928.564884
2022-06-09,bitcoin,1654819200000.0,30101.187521431468,573819802894.6453,18871591862.340336
2022-06-10,bitcoin,1654905600000.0,29101.2982596468,554622874799.0432,25663085729.428833
2022-06-11,bitcoin,1654992000000.0,28374.14499732395,540789214973.6274,22518366769.839092
2022-06-12,bitcoin,1655078400000.0,26767.269173221313,514202090511.0678,29834061115.62461
2022-06-13,bitcoin,1655164800000.0,22525.768350391198,429492202561.014,64852526179.382835
2022-06-14,bitcoin,1655251200000.0,22244.848968001315,423044474596.5387,47639470967.891426
2022-06-15,bitcoin,1655337600000.0,22529.198114649807,429887916884.8431,52027211446.51121
2022-06-16,bitcoin,1655424000000.0,20408.690490591813,389181727345.57733,27449277945.59262
2022-06-17,bitcoin,1655510400000.0,20473.05288079512,391441740414.39136,24232922585.240158
2022-06-18,bitcoin,1655596800000.0,19047.41782828195,362303884192.0101,38920632524.1614
2022-06-19,bitcoin,1655683200000.0,20516.41197977524,390555374756.5322,32488136325.883087
2022-06-20,bitcoin,1655769600000.0,20636.75891240637,392793374515.9921,28346447996.779846
2022-06-21,bitcoin,1655856000000.0,20700.923933039136,395059669321.2376,25340643362.789
2022-06-22,bitcoin,1655942400000.0,19983.566482863105,381616262301.266,24955466738.110855
2022-06-23,bitcoin,1656028800000.0,21100.270533511088,402495826231.42053,23655104386.978516
2022-06-24,bitcoin,1656115200000.0,21262.71348295613,407086114490.3726,21955656695.748722
2022-06-25,bitcoin,1656201600000.0,21525.88036221139,410110791491.05475,16152442749.306295
2022-06-26,bitcoin,1656288000000.0,21052.80539783573,401645800330.4072,15392697878.417652
2022-06-27,bitcoin,1656374400000.0,20751.477530790766,395914576106.05786,17719011287.9831
2022-06-28,bitcoin,1656460800000.0,20282.542479269694,386606940573.39575,18161209601.432373
2022-06-29,bitcoin,1656547200000.0,20108.529472889782,384067866465.5609,20744333507.35517
2022-06-30,bitcoin,1656633600000.0,19608.397493423083,365984224323.45276,22816515394.911003
2022-07-01,bitcoin,1656720000000.0,19407.447430262473,370916529918.7163,28756781114.699898
2022-07-02,bitcoin,1656806400000.0,19268.227002666128,367706689137.568,15601715000.679424
2022-07-03,bitcoin,1656892800000.0,19310.233218521833,368549364135.05225,13976969844.332441
2022-07-04,bitcoin,1656979200000.0,20257.012328592882,386425176262.77844,18634860046.37241
2022-07-05,bitcoin,1657065600000.0,20188.779663973284,385301783065.72974,23623270105.54542
2022-07-06,bitcoin,1657152000000.0,20566.68722377,392479833070.6018,21755499642.28282
2022-07-07,bitcoin,1657238400000.0,21660.596837075183,414055638573.8548,21927087503.433758
2022-07-08,bitcoin,1657324800000.0,21858.818749217564,417690286504.50726,46645398900.96298
2022-07-09,bitcoin,1657411200000.0,21589.628101459668,412459838738.2113,26211587451.783283
2022-07-10,bitcoin,1657497600000.0,20859.81407965063,398249545888.6735,25037950754.003357
2022-07-11,bitcoin,1657584000000.0,19998.467839575842,382000290322.39886,21319467248.801025
2022-07-12,bitcoin,1657670400000.0,19350.73735007727,370191767290.5106,22074971578.2899
2022-07-13,bitcoin,1657756800000.0,20225.23866433186,385462566548.9708,28560004360.902916
2022-07-14,bitcoin,1657843200000.0,20574.84059150044,393104346702.71136,28732413536.669937
2022-07-15,bitcoin,1657929600000.0,20794.811981436706,397285233065.65533,46542248374.33238
2022-07-16,bitcoin,1658016000000.0,21193.08334336837,404705642580.89075,42051101694.797554
2022-07-17,bitcoin,1658102400000.0,20824.36275165164,397660610560.5498,29615794461.49923
2022-07-18,bitcoin,1658188800000.0,22395.365383103952,425756736660.6174,58636734705.48306
2022-07-19,bitcoin,1658275200000.0,23366.90769792785,445889013251.1064,57338223361.51413
2022-07-20,bitcoin,1658361600000.0,23313.296731959555,446130012149.91077,40775718993.79776
2022-07-21,bitcoin,1658448000000.0,23155.207555248304,442379611364.02734,63224249257.511284
2022-07-22,bitcoin,1658534400000.0,22696.902754290055,433485926857.3929,40304373301.41499
2022-07-23,bitcoin,1658620800000.0,22506.199573628986,429803379587.55133,42519262113.1533
2022-07-24,bitcoin,1658707200000.0,22613.719208248454,433819662321.5266,33108916659.05373
2022-07-25,bitcoin,1658793600000.0,21330.295450788173,407480099599.8142,42667548128.932236
2022-07-26,bitcoin,1658880000000.0,21235.612316085775,405692421501.52716,53995620035.18145
2022-07-27,bitcoin,1658966400000.0,22908.884260468687,437193517021.8447,54498281944.45157
2022-07-28,bitcoin,1659052800000.0,23822.067597823116,454806622614.75885,55609627980.6571
2022-07-29,bitcoin,1659139200000.0,23847.58331873861,459609388579.5554,41089335195.63975
2022-07-30,bitcoin,1659225600000.0,23653.459549430798,451726702392.36206,62102072346.807785
2022-07-31,bitcoin,1659312000000.0,23379.70052509082,447051019373.1847,31786729326.443203
2022-08-01,bitcoin,1659398400000.0,23333.749243312184,445958949620.3002,44489771146.510735
2022-08-02,bitcoin,1659484800000.0,23053.846847482677,440954684720.7478,35151096516.75639
2022-08-03,bitcoin,1659571200000.0,22860.42098438317,437035641450.2815,41334593234.075066
2022-08-04,bitcoin,1659657600000.0,22678.363633874185,432420621055.8012,23624874220.429745
2022-08-05,bitcoin,1659744000000.0,23225.036201942938,443821669890.4801,27040190909.828075
2022-08-06,bitcoin,1659830400000.0,22984.57953144855,439414782173.18774,14439694271.14074
2022-08-07,bitcoin,1659916800000.0,23197.603469525384,442979379284.1196,14324042469.270954
2022-08-08,bitcoin,1660003200000.0,23823.679442453606,455450642522.25543,27756736787.028625
2022-08-09,bitcoin,1660089600000.0,23203.680696781623,443382534834.6949,29738069337.77638
2022-08-10,bitcoin,1660176000000.0,23948.829553271633,457270455537.3291,32215976525.650154
2022-08-11,bitcoin,1660262400000.0,23948.75170368143,458070674127.7904,33892871243.716595
2022-08-12,bitcoin,1660348800000.0,24411.379871522615,466765701334.6809,25195193357.103275
2022-08-13,bitcoin,1660435200000.0,24433.653747243658,467078368768.6749,22240559959.522095
2022-08-14,bitcoin,1660521600000.0,24312.541424891562,464896345363.0234,21287616855.704494
2022-08-15,bitcoin,1660608000000.0,24179.014652309197,462437221425.1544,33404812507.80541
2022-08-16,bitcoin,1660694400000.0,23913.333725628458,456791042838.03827,24971300201.368164
2022-08-17,bitcoin,1660780800000.0,23359.418837070007,447015816173.3428,29567403252.00121
2022-08-18,bitcoin,1660867200000.0,23248.38422819264,444845955425.38696,20228208349.156567
2022-08-19,bitcoin,1660953600000.0,20945.8339660496,400810425580.64777,35142410593.122185
2022-08-20,bitcoin,1661040000000.0,21175.232732989512,404924875533.8922,23809679190.922188
2022-08-21,bitcoin,1661126400000.0,21615.761693416986,413578924865.8514,20476237108.351532
2022-08-22,bitcoin,1661212800000.0,21387.747114773963,408409110509.79584,28856912427.175735
2022-08-23,bitcoin,1661299200000.0,21562.45153991356,412338357271.39594,29331102121.793316
2022-08-24,bitcoin,1661385600000.0,21395.45846975991,409503007623.01685,26855905243.361156
2022-08-25,bitcoin,1661472000000.0,21618.009019176647,413843488595.5175,26767966536.315014
2022-08-26,bitcoin,1661558400000.0,20271.322951706014,387215087166.7839,34910727805.04114
2022-08-27,bitcoin,1661644800000.0,20069.953331596196,383790676113.79205,24463219414.743473
2022-08-28,bitcoin,1661731200000.0,19659.24670619362,376180531070.6233,19781826309.451183
2022-08-29,bitcoin,1661817600000.0,20308.861447891457,389119405471.2333,28706315246.140064
2022-08-30,bitcoin,1661904000000.0,19805.35069885804,379555151404.602,30308993725.456158
2022-08-31,bitcoin,1661990400000.0,20023.55444491251,383348414528.78253,27825786159.855602
2022-09-01,bitcoin,1662076800000.0,20153.975977982507,385027707310.6654,25616737335.88055
2022-09-02,bitcoin,1662163200000.0,19941.451370047158,381788074511.76855,24078042298.340073
2022-09-03,bitcoin,1662249600000.0,19814.5642451146,379422449024.2574,20048153187.39969
2022-09-04,bitcoin,1662336000000.0,19980.013222242276,382421043401.0045,21537524477.36904
2022-09-05,bitcoin,1662422400000.0,19785.73350185514,378685143698.17633,23522961655.00036
2022-09-06,bitcoin,1662508800000.0,18859.500087680277,361210437263.86273,39940310406.47586
2022-09-07,bitcoin,1662595200000.0,19280.62547645678,369340091982.8708,30517907004.082462
2022-09-08,bitcoin,1662681600000.0,19322.77774937157,369723445425.44885,28936941008.358917
2022-09-09,bitcoin,1662768000000.0,21359.58252557909,408976281844.7646,42487059054.97593
2022-09-10,bitcoin,1662854400000.0,21707.38731931814,415974687298.0947,35941349745.24438
2022-09-11,bitcoin,1662940800000.0,21739.80437979554,416073628622.09485,31266252145.35619
2022-09-12,bitcoin,1663027200000.0,22339.67050262336,427473787888.3761,44006486689.44507
2022-09-13,bitcoin,1663113600000.0,20184.96749189655,386529657258.8565,46489890914.82466
2022-09-14,bitcoin,1663200000000.0,20255.922978327133,387486232249.80023,35789015870.392235
2022-09-15,bitcoin,1663286400000.0,19702.169889811717,377719382182.44714,33715957206.68328
2022-09-16,bitcoin,1663372800000.0,19764.411712043777,377988702161.6817,30187737709.58007
2022-09-17,bitcoin,1663459200000.0,20131.675305714027,385486747327.04944,23394494073.784782
2022-09-18,bitcoin,1663545600000.0,19437.157867982634,372598380208.27094,28689764413.699097
2022-09-19,bitcoin,1663632000000.0,19570.386709523507,374524246937.4287,39507938864.87854
2022-09-20,bitcoin,1663718400000.0,18869.928809390534,361980678159.1343,33890591849.676514
2022-09-21,bitcoin,1663804800000.0,18539.63523831258,355194467885.9514,41059997264.96848
2022-09-22,bitcoin,1663891200000.0,19464.322663348466,372075639498.16974,37660914389.8923
2022-09-23,bitcoin,1663977600000.0,19291.904802452067,370913140447.51636,35506139423.901344
2022-09-24,bitcoin,1664064000000.0,18939.970580499372,363168779956.3335,24644354421.61794
2022-09-25,bitcoin,1664150400000.0,18809.41143933244,360256894978.40894,21516374222.675316
2022-09-26,bitcoin,1664236800000.0,19219.727780656474,367613056759.2221,42560193944.41844
2022-09-27,bitcoin,1664323200000.0,19116.331160710437,366383164263.7157,52482615483.86207
2022-09-28,bitcoin,1664409600000.0,19444.787771362975,372892084645.0075,47494258189.70422
2022-09-29,bitcoin,1664496000000.0,19563.765161776904,374830625219.6003,37537716230.48356
2022-09-30,bitcoin,1664582400000.0,19476.92659600407,373222100680.7475,37848666330.67224
2022-10-01,bitcoin,1664668800000.0,19314.463835217448,370204708063.3375,15943514602.722155
2022-10-02,bitcoin,1664755200000.0,19065.153837148988,366195863790.6755,17859684587.64641
2022-10-03,bitcoin,1664841600000.0,19620.567543591394,375767908259.0832,26634227151.925247
2022-10-04,bitcoin,1664928000000.0,20345.398520106643,390177741507.47705,30974520027.944332
2022-10-05,bitcoin,1665014400000.0,20161.830614985047,386368899196.38165,29366342083.101757
2022-10-06,bitcoin,1665100800000.0,19949.051041418512,382505641462.15643,31354758329.142307
2022-10-07,bitcoin,1665187200000.0,19457.308951251147,373170861484.13965,25445042398.337975
2022-10-08,bitcoin,1665273600000.0,19418.037989243952,372391945609.07526,12996183216.30484
2022-10-09,bitcoin,1665360000000.0,19448.14900175761,372264710552.3351,14404623229.04686
2022-10-10,bitcoin,1665446400000.0,19142.694767392895,367207056773.2261,23743487600.53748
2022-10-11,bitcoin,1665532800000.0,19058.628039738272,365118514776.26794,25102717820.99086
2022-10-12,bitcoin,1665619200000.0,19153.039779986986,367301644901.367,22339104401.384174
2022-10-13,bitcoin,1665705600000.0,19383.9432200889,371647189087.47595,37194496437.923996
2022-10-14,bitcoin,1665792000000.0,19198.107144951755,367584653730.75476,34806651159.13548
2022-10-15,bitcoin,1665878400000.0,19072.780513358884,365870425566.52997,13103099352.405506
2022-10-16,bitcoin,1665964800000.0,19272.921847772006,369552982160.53754,15683330320.159586
2022-10-17,bitcoin,1666051200000.0,19557.895548868444,375052275829.7958,23713928577.519844
2022-10-18,bitcoin,1666137600000.0,19348.029368810374,371196833238.99286,25848175158.687187
